rank,kanji,onyomi,kunyomi,meaning,labels,example_1,example_2
63,及,kyuu キュウ,"oyo(bu), oyobi およ(ぶ)、 および","reach out, exert, exercise, cause",jlpt_n1,,
64,憲,ken ケン,,"constitution, law",jlpt_n1,,
65,離,ri リ,hana(reru) はな(れる),"detach, separation, disjoin, digress",jlpt_n1,,
66,激,geki ゲキ,hage(shii) はげ(しい),"violent, get excited, enraged, chafe, incite",jlpt_n1,,
67,摘,teki テキ,tsu(mu) つ(む),"pinch, pick, pluck, trim, clip, summarize",jlpt_n1,,
68,系,kei ケイ,,"lineage, system",jlpt_n1,,
69,批,hi ヒ,,"criticism, strike",jlpt_n1,,
70,郎,rou ロウ、 リョウ,otoko おとこ,"son, counter for sons",jlpt_n1,,
71,健,ken ケン,suko(yaka) すこ(やか),"healthy, health, strength, persistence",jlpt_n1,,
72,従,"juu, shou, ju ジュウ、 ショウ、 ジュ","shitaga(u), yori したが(う)、 より","accompany, obey, submit to, comply, follow, secondary, incidental, subordinate",jlpt_n1,,
73,修,"shuu, shu シュウ、 シュ",osa(meru) おさ(める),"discipline, conduct oneself well, study, master",jlpt_n1,,
74,隊,tai タイ,,"regiment, party, company, squad",jlpt_n1,,
75,織,"shoku, shiki ショク、 シキ","o(ru), ori, -ori, -o(ri) お(る)、 おり、 -おり、 -お(り)","weave, fabric",jlpt_n1,,
76,拡,"kaku, kou カク、 コウ",hiro(garu) ひろ(がる),"broaden, extend, expand, enlarge",jlpt_n1,,
77,故,ko コ,"yue, furu(i), moto ゆえ、 ふる(い)、 もと","happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore",jlpt_n1,,
78,振,shin シン,fu(ru) ふ(る),"shake, wave, wag, swing",jlpt_n1,,
79,弁,"ben, hen ベン、 ヘン","kanmuri, wakima(eru), wa(keru), hanabira かんむり、 わきま(える)、 わ(ける)、 はなびら","valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish, conical cap",jlpt_n1,,
80,就,"shuu, ju シュウ、 ジュ",tsu(ku) つ(く),"concerning, settle, take position, depart, study, per",jlpt_n1,,
81,異,i イ,"koto, koto(naru), ke こと、 こと(なる)、 け","uncommon, different, queerness, strangeness, wonderful, curious, unusual",jlpt_n1,,
82,献,"ken, kon ケン、 コン",tatematsu(ru) たてまつ(る),"offering, counter for drinks, present, offer",jlpt_n1,"彼は献身的な人です。
kare wa kenshinteki na hito desu.
He is a devoted person.","彼らは墓に献花をした。
karera wa haka ni kenka o shita.
They laid flowers at the grave."
83,厳,"gen, gon ゲン、 ゴン","ogoso(ka), kibi(shii), ika(meshii), itsukushi おごそ(か)、 きび(しい)、 いか(めしい)、 いつくし","stern, strictness, severity, rigidity",jlpt_n1,,
84,維,i イ,,"fiber, tie, rope",jlpt_n1,,
85,浜,hin ヒン,hama はま,"seacoast, beach, seashore",jlpt_n1,,
86,遺,"i, yui イ、 ユイ",noko(su) のこ(す),"bequeath, leave behind, reserve",jlpt_n1,,
87,塁,"rui, rai, sui ルイ、 ライ、 スイ",toride とりで,"bases, fort, rampart, walls, base(ball)",jlpt_n1,,
88,邦,hou ホウ,kuni くに,"home country, country, Japan",jlpt_n1,,
89,素,"so, su ソ、 ス",moto もと,"elementary, principle, naked, uncovered",jlpt_n1,,
90,遣,ken ケン,"tsuka(u), -tsuka(i), -dzuka(i), ya(ru) つか(う)、 -つか(い)、 -づか(い)、 や(る)","dispatch, despatch, send, give, donate, do, undertake",jlpt_n1,,
91,抗,kou コウ,araga(u) あらが(う),"confront, resist, defy, oppose",jlpt_n1,,
92,模,"mo, bo モ、 ボ",,"imitation, copy, mock",jlpt_n1,,
93,雄,yuu ユウ,"o-, osu, on お-、 おす、 おん","masculine, male, hero, leader, superiority, excellence",jlpt_n1,,
94,益,"eki, yaku エキ、ヤク",ma(su) ま(す),"benefit, gain, profit, advantage",jlpt_n1,"この商売は利益が多いです。
kono shoubai wa rieki ga ooi desu.
This business is very profitable.","彼と有益な話しをしました。
kare to yuuekina hanashi o shimashita.
I had a useful conversation with him."
95,緊,kin キン,shi(meru) し(める),"tense, solid, hard, reliable, tight",jlpt_n1,,
96,標,hyou ヒョウ,"shirube, shirushi しるべ、 しるし","signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir",jlpt_n1,,
97,宣,sen セン,notama(u) のたま(う),"proclaim, say, announce",jlpt_n1,,
98,昭,shou ショウ,,"shining, bright",jlpt_n1,,
99,廃,hai ハイ,suta(reru) すた(れる),"abolish, obsolete, cessation, discarding, abandon",jlpt_n1,,
100,伊,i イ,kare かれ,"Italy, that one",jlpt_n1,,
