rank,word,reading_kana,reading_romaji,part_of_speech,meaning,labels,example_1,example_2,example_3
69,大好き,だいすき,daisuki,"Adjective, な-adjective",love; like; like very much,jlpt_n5,"だ。

Natto, a type of fermented soy, used to be one of my least favorite Japanese foods, but after three years of studying in Japan, it is now one of my favorite foods.","疲れた。

My girlfriend loves to shop, and I became tired after she dragged me around all day to one store after another.","だ。

My young sons love cars and trains, and they are especially fond now of watching cars driving under the pedestrian bridge."
70,だんだん,,dandan,Adverb,gradually,jlpt_n5,"きてしまいさびしい。

My grandmother died when I was a child. I feel sad and miss her as my memories of her are gradually fading with the passage of time.","も吹くようになった。

The rain that had begun to fall in the morning gradually increased in intensity, and fierce winds began to blow in gusts.","きた。

Immediately after the injury, I suffered from a pretty bad pain, but as the days went by, the pain gradually subsided."
71,誰,だれ,dare,Pronoun,who,jlpt_n5,"には誰もいなかった。

Anti-government armed forces overran the capital, but the king had already fled the capital and the palace was empty.","で応募する人は誰もいないようだ。

Applications for exchange students will open on campus next month, but no one around me seems to be applying.","成績を残し、今では誰もが認めるスター選手だ。

Ohtani of the Los Angeles Angels achieved phenomenal results and is now an undisputed star of the game."
72,誰か,だれか,dareka,Pronoun,someone; somebody,jlpt_n5,"に食べきれないぐらい野菜をもらった。誰かにあげるか、それともいい保存の方法はないかと考えている。

I received more vegetables than I could eat from a relative who has a vegetable garden. I am wondering if I should give them to someone else or if there is a good way to preserve them.","を書き込むと、「誰かわかる人はいませんか」と言って、ぐるりと教室の中を見回した。

The professor wrote the mathematical formula on the blackboard and looked around the classroom, saying, “Can anyone figure this out?”","でじっとして、誰かが帰ってくるのをただひたすら待っている。

When the family goes out, my dog sits still at the door without eating, just waiting for someone to come back."
73,出す,だす,dasu,"Verb, Godan verb, Transitive verb",to take out; to get out; to put out; to reveal,jlpt_n5,"必要がある。

If you are feeling stuck in your current state of being, you need to reconsider the status quo and identify the issues.","小さいサイズのを出してもらった。

I found a pair of sneakers that looked good and tried them on, but they were a little too big, so I asked the clerk to bring me a pair one size smaller.","を引き出すような教育が求められている。

Schools are required to provide education that brings out the innate strengths in each child."
74,出口,でぐち,deguchi,Noun,exit; gateway; way out,jlpt_n5,"しまった。

The subtle colors of the paintings near the museum”s exit were so beautiful that I stopped to admire them for a while.","分子の運動の観察に基づき可能な出口が３つ存在するようシステムに変更を加える

Based on my observation of the movement of particle D, I modify the system so that three possible exits exist.","彼らは出口のほうに進んだ

They made for the exit."
75,出かける,でかける,dekakeru,"Verb, Ichidan verb, Intransitive verb",to go out; to leave; to depart,jlpt_n5,"に買い物に出かけることにした。

On Sunday morning I felt the spring-like weather, so I decided to put on a brightly colored dress to go shopping in town.","にいることにした。

When I heard that it will snow heavily tomorrow, Sunday, I changed my plan to go out and will stay at home.","仕事に出かけた。

I made a simple sandwich with ham and cheese for lunch, put it in my bag, and went to work."
76,電気,でんき,denki,Noun,electricity,jlpt_n5,"と比べて性能が格段に進化している。

Electric pots that allow easy, automated cooking by simply adding ingredients and seasonings have evolved dramatically in performance over the last decade.","いる。しかし、

The typhoon caused a massive power outage, and a recovery operation is urgently underway for residents who are anxious about carrying on their daily activities. However, it may take several days to restore power.","去年の夏は暑かった。エアコンを長時間使ったので電気料金がいつもの

Last summer was hot. I used the air conditioner for a long time, so my electricity bill was about double the usual price."
77,電車,でんしゃ,densha,Noun,train; electric train,jlpt_n5,"がいなかったので、どこに整列したらいいのかわからなかった。

When I arrived on the platform of the station, I heard an announcement asking for cooperation through boarding in line, but there were no station staff, so I did not know where to line up.","なり、眠ってしまった。

I was so exhausted that I fell asleep as soon as I got on the train and sat down.","になる。

When people sit on train seats with their legs in the aisle, it causes an obstruction."
78,電話,でんわ,denwa,"Noun, Verb, Suru verb",telephone (call / device)l; phone call,jlpt_n5,"に携帯電話が鳴ってしまった。

My cell phone rang in the middle of an important meeting because I forgot to set it to silent mode.","だ。

The most commonly used communication tool within a company is the extension telephone, even in this day and age.","をこぼしてしまった。

I continually complained about my workplace on the phone to my friend."
