rank,word,reading_kana,reading_romaji,part_of_speech,meaning,labels,example_1,example_2,example_3
121,ギター,,gitaa,"Noun, Katakana",guitar,jlpt_n5,"が良く、素晴らしかった。

The guitar performance at the evening concert was excellent, with great rhythmical breaks.","ようになりたい。

I want to be able to make a “long squeaky” sound and play the electric guitar in a cool way.","趣味はギターを弾くことです

I play the guitar in my spare time."
122,五,ご,go,"Noun, Numeric",five; 5,jlpt_n5,"となっている。参加希望者が私たち

I found a tour that meets our preferences perfectly, but the minimum number of participants is five. If we two are the only people who want to join the tour, it will be cancelled.","だ。秋の

Today is the night of the full moon. The bright, clear, full moon that appears in the autumn night sky is beautiful.","祈る合否開けた

I opened  the sealed envelope informing me of my acceptance or rejection, praying that I had been accepted."
123,午後,ごご,gogo,Noun,afternoon; p.m.,jlpt_n5,"出張には、今日の午後出発の予定だ。

I am scheduled to leave for a business trip this afternoon.","に眠くなるのは生理現象なので避けることはできないが、午後の仕事の効率が下がるので困っている。

Although sleepiness after eating is a physiological phenomenon that cannot be avoided, it is troubling because it reduces work efficiency in the afternoon.","閉店とさせていただきます。ご不便をおかけしますが、なにとぞご理解

Owing to the declaration concerning the state of emergency, our store will be closed at 8:00 p.m. for the time being. We apologize for any inconvenience this may cause and ask for your understanding and cooperation."
124,ご飯,ごはん,gohan,Noun,"cooked rice, meal",jlpt_n5,"ご飯行儀叱られた

When I was eating while reading a comic book, my mother scolded me for my bad manners.","を食べることにした。

Since my right hand, which is my dominant hand, was injured, and I could not use chopsticks properly, I decided to eat rice with a spoon.","ように注意が必要だ。

When cooking rice, hot steam escapes from the rice cooker, so care should be taken to prevent small children from touching the rice cooker."
125,午前,ごぜん,gozen,Noun,morning; a.m.,jlpt_n5,"が変わる前に帰ってきた。

My husband has been to a lot of drinking parties and often has come home after midnight, but today he came home before midnight.","からだ。

Ticket reservations for the concert will be accepted starting tomorrow at 10 a.m.","の予定だ。

I took a flight departing from Fukuoka Airport at 10:00 a.m., so I’m scheduled to arrive in Tokyo around noon."
126,グラム,,guramu,"Noun, Katakana",gram,jlpt_n5,"を強化するさまざまなトレーニングプログラムが考えられている。

In order to increase the competitive level of athletes, various training programs are being considered for strengthening the endurance and instantaneous muscular strength of athletes.","のことである。

Source code is a character string of computer program written in a programming language.","コメントをしていたため、そのインフルエンサーはついにその投稿を削除してしまった。

An influencer posted her picture on Instagram along with remarks: “I have succeeded in my diet. I lost 5 kilos.” Then, a troll wrote offensively: “You are still fat, LOL!” This being the case, the influencer finally deleted her post."
127,牛肉,ぎゅうにく,gyuuniku,Noun,beef,jlpt_n5,"を使うことが多いと言われる。

The differences in cooking between the Kantō  and Kansai regions are often talked about, but in the case of nikujaga (Japanese-style meat and potato stew), a staple dish of Japanese home cooking, it is said that pork is used in the Kantō region whereas beef is more common in Kansai.","してステーキにした。フライパンに

I have decided to splurge on dinner and will have steak. I will heat oil in a frying pan over medium heat, then add the beef and cook it until it turns brown.","によって供給量が変動する。

The supply of agricultural products fluctuates in response to the weather."
128,牛乳,ぎゅうにゅう,gyuunyuu,Noun,(cow's) milk,jlpt_n5,"もとれる。

When making vegetable soup, milk can be added for protein.","飲むことにした。

I had toast and a salad for breakfast, but I decided to have a glass of milk as well, thinking that it would increase the nutritional value.","になっている。

When I visit the ranch, one of my favorite things to do is to eat ice cream made from fresh milk straight from a cow."
129,歯,は,ha,Noun,tooth,jlpt_n5,"を選ぶことが大切だ。

To protect your oral health, it is important to choose the right toothpaste for the right purpose. For the prevention of gum disease, those that contain ingredients with bacteriocidal and gingival astriction properties are effective.","に連絡したほうがいい。

If the pain and bleeding are severe and persist for a long time after the tooth has been extracted, you should contact your dentist.","のデータベース化を進めている。

In many cases, even if a body is severely damaged, dental impressions can be used for identification. The Dental Association is working to create a database of dental impressions to be used for identification purposes in times of disaster."
130,八,はち,hachi,"Noun, Numeric",eight: 8,jlpt_n5,"が多くていらいらさせられる。

One of my subordinates is irritating me because he makes a lot of excuses for everything.","である。

The Shikoku Pilgrimage to the eighty-eight Buddhist temples is a journey of prayer to visit sacred sites.","はコンビニよりも多い。

There are more than 80,000 Shinto shrines in Japan, both large and small, which is actually more than the number of convenience stores."
131,葉書,はがき,hagaki,Noun,postcard,jlpt_n5,"を印刷した。

After checking the finished product on the computer’s preview screen, I printed out the address of the addressee on the postcard.","両親が私にはがきを送ってくれた

My parents sent me a postcard.","旅行中に葉書を出すのは好きではない

I don't like to send postcards when I'm on a trip."
132,母,はは,haha,Noun,mother,jlpt_n5,"喫煙害及ぼす

Smoking by the mother is harmful to the fetus.","を作っている。

My mother writes haiku as a hobby.","である。

My great-grandfather on my mother’s side was an entrepreneur who started a large business and made a fortune in his own lifetime."
133,はい,,hai,Noun,yes; that is correct​,jlpt_n5,"はいけない。

Snoring may be a sign of serious illness, so do not disregard it and dismiss it as just snoring.","に雪が積もっており、なおさらきれいだった。

Mt. Fuji is always beautiful, but today it was even more so with snow on the summit.","はいつも、「何をやってもうまくいかない。自分は不幸だ」と

My friend always complains, saying, “No matter what I do, nothing seems to work out. I am unhappy.”"
134,入る,はいる,hairu,"Verb, Godan verb, Intransitive verb",to enter; to go into,jlpt_n5,"正門前怖い先輩先輩裏門入った

There was a scary senior student in front of the main gate of the school, so I sneaked in through the back gate to avoid being seen.","をするなど、勤務態度が悪かったので、すぐにくびになった。

A newly hired temporary worker was immediately fired because he demonstrated a negative attitude toward work, such as not addressing the boss with respectful language and being absent without notice.","よ」と声をかけてくれた。

When I was hesitating to enter the party hall where I was invited by a friend, my good friend Yamada-kun came out from the hall and said to me, ""Hurry up and come inside.”"
135,灰皿,はいざら,haizara,Noun,ashtray,jlpt_n5,"彼は灰皿を拾い上げた

He picked up the ash-tray.","彼はシガーを灰皿で押しつぶして消し立って行こうとした

He stubbed out his cigar in the ashtray and stood up to leave.","灰皿を下さい

I need an ashtray."
136,始まる,はじまる,hajimaru,"Verb, Godan verb, Intransitive verb",to begin,jlpt_n5,"で応募する人は誰もいないようだ。

Applications for exchange students will open on campus next month, but no one around me seems to be applying.","が広がりつつある。

Once again the number of new coronavirus cases has begun to rise, and a new wave of infection is spreading.","としての新しい生活が始まる。

In April I will finally embark on a new life as a working adult."
137,初めて,はじめて,hajimete,Adverb,for the first time,jlpt_n5,"発した和んだ

The students, who were taking the class for the first time, looked nervous, but a joke the professor told broke the ice in the classroom.","はいい。

The vegetables in our vegetable garden are deformed in shape, but taste delicious.","には愛着がある。

Even though the shape may be a little deformed, there is a special feeling of attachment to the first teacup I have ever made myself."
138,箱,はこ,hako,Noun,box; crate,jlpt_n5,"送られて来る。

Every winter, a friend in Aomori sends a box of bright red apples with news of the season.","だ。

For my father, a carpenter by trade, building a wooden toy box is a piece of cake.","置いてゆっくり運転して帰った。

I drove home slowly, after carefully placing the cake I had bought for my father’s birthday on the back seat of the car so that it would not get squashed in the box."
139,履く,はく,haku,"Verb, Godan verb, Transitive verb","to wear, to put on trousers",jlpt_n5,"小さいサイズのを出してもらった。

I found a pair of sneakers that looked good and tried them on, but they were a little too big, so I asked the clerk to bring me a pair one size smaller.","に、シャツにアイロンをかけて、しわを伸ばす。

After washing, I iron the shirt to flatten the creases.","いたら、姉に「趣味が悪い！」と笑われた。

I was wearing a flashy-patterned shirt and check pants, and my older sister laughed at me saying, “You have bad taste!”"
140,半,はん,han,Noun,half; semi-; half-past,jlpt_n5,"に寄って買い物している。

The supermarket near my office has a half-price sale in the evening, so I stop by every day on my way home from work to shop.","になってしまった。

I have neglected watering my garden for about a week. Consequently, more than half of flowers in my flowerbed have withered.","である。

The student body of my university has a 50/50 split in enrollment between the students who came from its affiliated senior high school and those who came from non-affiliated senior high schools."
141,花,はな,hana,Noun,flower,jlpt_n5,"を作った。

The florist clerk listened to the customer’s request in an amiable manner and quickly arranged a bouquet of flowers.","になってしまった。

I have neglected watering my garden for about a week. Consequently, more than half of flowers in my flowerbed have withered.","を咲かせた。

I bumped into a classmate from high school in front of the station, and we spent a good few hours chatting happily at a nearby coffee shop."
142,鼻,はな,hana,Noun,nose,jlpt_n5,"になった。

During an examination for allergic rhinitis, a long cotton swab was shoved deep into my nose, making me teary-eyed with pain.","が有効であると言われている。

Nasal rinse, which involves washing the inside of the nose with water, is said to be effective for alleviating the symptoms of hay fever.","もらった。

I have a pollen allergy, so I visited an otolaryngologist to have pollinosis medication prescribed."
143,話,はなし,hanashi,Noun,talk; speech; chat; conversation​,jlpt_n5,"酵素が発見されて、医学界で話題となっている。

An enzyme that prevents cellular aging has been discovered, and it is now a hot topic in the field of medicine.","に携帯電話が鳴ってしまった。

My cell phone rang in the middle of an important meeting because I forgot to set it to silent mode.","の話をよく聞くので、皆からとても信頼されている。

My boss is a good listener to subordinates and maintains the same attitude regardless of whether she is in a meeting or relaxing over a drink. So, she has the strong trust of everyone."
144,話す,はなす,hanasu,"Verb, Godan verb, Transitive verb",to speak; to talk; to converse,jlpt_n5,"まことにおめでとうございます」と話し始めた。

At the university’s entrance ceremony, the president began his speech by saying, “I would like to congratulate all the new students and their parents on this special occasion.”","な性格だ。

My aunt is a jovial, carefree person who says whatever  comes into her mind.","というものに興味を持つ子どももいる。

Some children are interested in dialects, including the dialect they speak, topics that are sometimes covered in school classes these days."
145,半分,はんぶん,hanbun,Noun,half,jlpt_n5,"になってしまった。

I have neglected watering my garden for about a week. Consequently, more than half of flowers in my flowerbed have withered.","が借りられるそうだ。

According to the 2018 survey conducted by the Ministry of Internal Affairs and Communications, the price of rental housing in Kagoshima is about half that in Tokyo, if you use the rent in Tokyo as the standard value.","面白半分なら来ないで欲しい

If you're doing it in fun, I'd rather you didn't come."
146,ハンカチ,,hankachi,"Noun, Katakana",handkerchief​,jlpt_n5,"まで歩いた。

I walked to the bus stop in the muggy weather, wiping the sweat off my face with a handkerchief.","をおさえた。

The bride’s father became teary while giving his address, pulled a handkerchief from his pocket, and dabbed his eyes.","をおさえるようにしてください。

When coughing or sneezing, please use a handkerchief to cover your mouth."
147,晴れ,はれ,hare,Noun,clear weather,jlpt_n5,"昨夜暴風雨嘘今日晴れ上がった

Today, the sky cleared up nicely as if last night’s rainstorm was a figment of my imagination.","なった。

When the Pacific War began, weather forecasts were no longer broadcast. This measure was taken for national defense reasons, as sunny cities were easy targets for attack if weather information was intercepted by a hostile nation.","が見える。

When you climb up to the observatory on a clear day, you will see a hazy view of Mt. Fuji in the far distance."
148,晴れる,はれる,hareru,"Verb, Ichidan verb, Intransitive verb",to be sunny,jlpt_n5,"となりそうです。」と

In a morning information program, a weather forecaster said, “It will be sunny  in the Kantō Region, but rain and thunderstorms are likely to occur in the evening, mainly on the Pacific side.”","なった。

When the Pacific War began, weather forecasts were no longer broadcast. This measure was taken for national defense reasons, as sunny cities were easy targets for attack if weather information was intercepted by a hostile nation.","落ち込んで気分晴れた

I was depressed after a failure at work, but I was able to talk to my friend about it, which made me feel a little better."
149,春,はる,haru,Noun,spring; springtime,jlpt_n5,"を買ってきて、庭に植えた。春に収穫するのが楽しみだ。

I bought bean seedlings at a gardening center and planted them in my garden. I am looking forward to harvesting them in the spring.","に買い物に出かけることにした。

On Sunday morning I felt the spring-like weather, so I decided to put on a brightly colored dress to go shopping in town.","の多い季節である。

In Japan, spring is a season of many personnel changes, including transfers and promotions."
150,貼る,はる,haru,"Verb, Godan verb, Transitive verb",to stick; to paste,jlpt_n5,"を記入し、よく見える場所に貼らなければならない。

When disposing of bulky waste, you must write your name or receipt number on the bulky waste disposal ticket and attach it prominently.","。」と書かれた

At a nearby supermarket, a notice that says, “Your comments and requests are welcome” is posted on the bulletin board. Below it, many pieces of paper are displayed containing customer requests with answers from the store.","した。

I sealed the thick envelop with glue, but I was not sure if it would stick, so I put Scotch-tape on top to reinforce it."
151,箸,はし,hashi,Noun,chopsticks,jlpt_n5,"はいろいろある。小さい子どもが

There are many ways to use chopsticks. Because it is difficult for small children to learn to eat using chopsticks simply by watching adults, it would be better if adults showed them how to hold chopsticks correctly at every meal.","を食べることにした。

Since my right hand, which is my dominant hand, was injured, and I could not use chopsticks properly, I decided to eat rice with a spoon.","とよい。

When it comes to cooking pasta, use chopsticks to gently loosen the pasta while boiling to prevent it from sticking together."
152,橋,はし,hashi,Noun,bridge,jlpt_n5,"の大きな橋である。

The bridge under construction is a large bridge, 500 meters long, 20 meters high, and with three lanes on each side.","である。

Sprinkle salt and pepper on top of a thinly sliced tomato, drizzle a few drops of olive oil, and you will have an instant tomato salad.","主人公身自ら命絶った

The protagonist committed suicide by throwing himself off a bridge."
153,走る,はしる,hashiru,"Verb, Godan verb, Intransitive verb",to run,jlpt_n5,"をならすことが重要だ。

Before running, it is important to warm up with stretching and other exercises to prepare the body.","を出した。

The car in front of me flashed its left blinker to signal a left turn.","に逃げ込んだ。

Lightning streaked across the sky and thunder rumbled, so I rushed indoors."
154,二十歳,はたち,hatachi,Noun,20 years old; twenty years old,jlpt_n5,"を選んだ。

Because of my parents’ international marriage, I was granted two nationalities when I was a child: Japanese and American. Since dual nationality is not allowed in Japan, I chose American citizenship when I turned 20 years old.","は２０歳になりました

Muiriel is 20 now.","彼女は二十歳のときに最初の子供を産んだ

She gave birth to her first child at twenty years old."
155,働く,はたらく,hataraku,"Verb, Godan verb, Intransitive verb",to work,jlpt_n5,"で働きたい。

I would like to work in an environment where I can reach my highest potential without regard to my age or gender.","の声を聞き取り、ホームページで発信していくことにした。

In order to raise public awareness of the current state of healthcare workers, we have decided to listen to their real opinions and post them on our website.","を出た。

The wife, fed up with her husband who drank every day and did not work, finally decided to divorce him and left home with her children."
156,二十日,はつか,hatsuka,Noun,twentieth day of the month / 20 days,jlpt_n5,"卒業式は三月二十日に行われます

The graduation ceremony will take place on March 20th.","私は二十日までに帰るつもりです

I expect to be back by the 20th.","２０日と日の午後を空けてありますのでこの２日間のいずれかに様とお会いしたいと考えています

I have kept available the afternoon of the 20th and the 21st, and would like to know if Mr Grant will be available for a meeting on either of those two days."
157,速い,はやい,hayai,"Adjective, い-adjective",fast; quick; hasty; brisk,jlpt_n5,"川は想像以上に流れが速く、深いので、注意が必要だ。

The river flows faster and deeper than one might imagine, so caution is advised.","などは流されてしまう危険があり、注意が必要だ。

There is a fairly fast-moving current in adjacent waters, and small boats and other vessels are in danger of being swept away, so caution must be exercised.","で進められている。

New oral drugs are being developed at a rapid pace as a response to the explosive spread of infectious diseases."
158,早い,はやい,hayai,"Adjective, い-adjective",fast; early,jlpt_n5,"で結婚したが、結婚するのが早過ぎたと後悔している。独身生活を楽しんでいる友人たちが

My parents rushed me into marriage at the age of 25; now I regret having married too soon. I can’t help but envy my friends who are enjoying their single lives.","だった。

Today was the day of the college entrance exam. I left home early but took a wrong turn. I became very nervous and anxious because I thought I would not make it in time; nevertheless, I arrived one minute before the start of the exam and made it just in time.","よ」と声をかけてくれた。

When I was hesitating to enter the party hall where I was invited by a friend, my good friend Yamada-kun came out from the hall and said to me, ""Hurry up and come inside.”"
159,辺,へん,hen,Noun,area,jlpt_n5,"やスキーがある。

Summer only pastimes include playing in the water and the game of watermelon splitting on the beach, while winter only pastimes include snowball fights and skiing.","ことになった。

I was on a business trip and suddenly had to stay overnight. I looked for an available room at a business hotel near the station, but unfortunately there were no vacancies.","を照らした。

Lightning flashed in the darkness and illuminated the area for a moment."
160,下手,へた,heta,"Noun, Adjective, な-adjective",unskillful; poor; awkward​,jlpt_n5,"私は料理をしますがとんでもなく下手くそです

I cook, but I'm really crap at it.","しまう。

Apparently, I am not very good at tying knots, because no matter how many times I try, my shoelaces gradually come undone as I walk.","いる。

In a serialized novel in the newspaper, the protagonist is portrayed as a socially clumsy person who is not very good at getting around in the world."
161,部屋,へや,heya,Noun,room,jlpt_n5,"次の日のテスト勉強をしているとき、友だちが突然部屋に遊びに来た。私はニコニコ笑って

While I was studying for the next day’s test, a friend unexpectedly came to visit me in my room. I welcomed him with a big smile, but the truth of the matter was that I was actually annoyed.","の中で本を読んで過ごすことが多かった。

Since my daughter does not like playing outside, she has often spent her time reading indoors since she was small.","していると、中学生の時につけていた日記が出てきた。読み返すと昔のことが

While I was giving a thorough cleaning, I found a diary which I had kept when I was in junior high school. Reading it over, I reminisced about the old days."
162,左,ひだり,hidari,Noun,left; left hand side,jlpt_n5,"を出した。

The car in front of me flashed its left blinker to signal a left turn.","プレーである。

The best part of a tennis doubles match is the seemingly natural coordination between the two players. The back-court player hits a deep ball just short of the baseline to force the opponent to the right or left. This allows the player at the net to intersect a fast but easy ball to hit a sharp angled volley into the void in the opponent’s court. The harmonious play between the two players is truly breathtaking to see.","いく。

The road in the mountains curves to the right and left, climbing on a gentle gradient towards the ridge."
163,東,ひがし,higashi,Noun,east,jlpt_n5,"交通事故が発生している。

In Tokyo, more than 20,000 traffic accidents occur annually.","として、国の重要文化財に指定されている。

The Marunouchi Station Building of Tokyo Station, built in 1914, is of great historical value and is designated as a National Important Cultural Property.","には最適だ。

The trail that follows the east side of the mountain is well maintained for an easy walk, making it ideal for beginners."
164,飛行機,ひこうき,hikouki,Noun,airplane; aircraft,jlpt_n5,"の話をよく聞くので、皆からとても信頼されている。

My boss is a good listener to subordinates and maintains the same attitude regardless of whether she is in a meeting or relaxing over a drink. So, she has the strong trust of everyone.","はいらっしゃいませんか。」というアナウンスが流れた。

On the plane, there was a sudden illness, or perhaps a medical emergency, and an announcement asking, “Are there any doctors or nurses on board?” was made.","といい、重量を超過すると超過料金がかかるので注意が必要だ。

Checked baggage refers to a suitcase which is not carried on board the plane but is checked in at the counter. One must be careful not to exceed the weight limit for checked baggage in order to avoid excess baggage charges."
165,引く,ひく,hiku,"Verb, Godan verb, Transitive verb",to pull,jlpt_n5,"元気そうだった。

I saw an old friend at a high school reunion for the first time in a long time, and she looked as lively as ever.","しまった。

My girlfriend was very beautiful, but my love for her instantly evaporated like the ebbing tide of the ocean when I heard her laughing at her long-time childhood friend, whom she called “provincial” and “dumb.”","を伸ばして、リズムよく歩くとよい。

When walking for health, keep your chin down, your back straight, and walk in a rhythmic manner."
166,弾く,ひく,hiku,"Verb, Godan verb, Transitive verb",to play,jlpt_n5,"趣味はギターを弾くことです

I play the guitar in my spare time.","手がかじかんでピアノが弾けない

My fingers are so numb with cold that I can't play the piano.","私達はその少年がバイオリンを弾いているのを聞いた

We heard the boy playing the violin."
167,低い,ひくい,hikui,い-adjective,"short,low",jlpt_n5,"示されている。

In a hazard map, areas of low elevation that are considered at high-risk for flooding and other damage, are color coded based on the degree of danger.","ていた。

I heard a rumble of thunder and looked out the window to see dark low-hanging clouds spreading across the sky.","を持っている人でも、周りにいる人間が悪いと、低きに流れてしまうものである。

Even people with high aspirations may drift lower if they are surrounded by bad people."
168,暇,ひま,hima,"Noun, な-adjective",free time,jlpt_n5,"を運んでいる。

For the past few years, I have pursued my appreciation of art by visiting art museums whenever I find spare time.","さえなかった。

I’ve been so busy these days that I haven’t even had the time to slowly stroke my cat’s head.","支払われる。

Salary during paid leave will be paid in accordance with the Labor Standards Law."
169,広い,ひろい,hiroi,い-adjective,spacious; vast; wide,jlpt_n5,"の声を聞き取り、ホームページで発信していくことにした。

In order to raise public awareness of the current state of healthcare workers, we have decided to listen to their real opinions and post them on our website.","ことができる。もちろん、

If the hot spring water in the bathtub is too hot, the temperature of the water can be lowered by opening a window so cold air from outside will cool the surface of the hot water. If you want to lower the temperature quickly, you can, of course, dilute the hot water with cold water.","続けている種類のものもある。

Some species of fish continue to migrate widely across the oceans on currents that have a suitable water temperature."
170,昼,ひる,hiru,Noun,noon; midday; daytime; lunch,jlpt_n5,"で遊び始めた。

My 3-year-old daughter, who was hungry and grumpy, was in a better mood after eating lunch and began playing by herself.","いる。

During the lunch break from 12:00 hrs to 13:00 hrs at city hall, staff members take turns tending the counter on a daily basis.","は中止になった。

The light rain that had been falling since morning turned into heavy rain by noon, and the marathon race scheduled for the afternoon was cancelled."
171,昼ご飯,ひるごはん,hirugohan,Noun,lunch,jlpt_n5,"の残りものだ。

Today’s lunch is leftovers from yesterday’s dinner.","彼女は昼ご飯を食べているところだ

She is having lunch now.","彼は今昼ご飯を食べるために外出していると思うよだからすぐ電話しても無駄だよ

He'll be out at lunch now, so there's no point phoning straight away."
172,人,ひと,hito,Noun,person; human,jlpt_n5,"が止まらないのは法律違反である。

It is against the law for a car not to stop when someone is trying to cross at a crosswalk.","いた。

In the days when rice was harvested by hand, farmers worked in the fields with all of their family members.","だ。

We have a dog, so it is part of my routine to take him for a walk every morning."
173,一人,ひとり,hitori,"Noun, Adverb",one person​; alone; single,jlpt_n5,"を引き出すような教育が求められている。

Schools are required to provide education that brings out the innate strengths in each child.","で遊び始めた。

My 3-year-old daughter, who was hungry and grumpy, was in a better mood after eating lunch and began playing by herself.","で、全く返信がない。

No matter how many times I text my son, who left home to live alone in Tokyo, he never responds."
174,一つ,ひとつ,hitotsu,"Noun, Numeric",one thing; only,jlpt_n5,"落とし、その蒸気を吸入する方法がある。

One way to enjoy aromatherapy is to place a few drops of essential oil into hot water and inhale the vapor that rises from the water.","の会社の給料が安かったことがある。

One of the reasons why I considered changing jobs was because of the low salary at the company I was working for at the time.","だ。

If you are not satisfied with the doctor’s explanation of your medical condition, one option is to seek a second opinion from a doctor at another hospital."
175,ほか,,hoka,Noun,"other (place, thing, person); the rest",jlpt_n5,"人嫌らしさ恥じた

When other people had little mishaps, I found myself thinking, “Oh, I’m glad it wasn’t me.” But soon afterwards, I felt ashamed and disgusted with myself for thinking that way.","市役所には、学校教育や子どもの保育、スポーツの振興を担当する課のほかに、市民の生涯学習の充実を担当する課も置かれている。

In addition to departments in charge of school education, childcare, and sports promotion, the city hall also has a department in charge of enhancing the lifelong learning of its citizens.","に収集を依頼する必要がある。

When disposing of furniture, as well as items like futons and carpets, you need to request the city to collect them as bulky waste."
176,本,ほん,hon,Noun,book; volume; script,jlpt_n5,"のソファーに寝そべって本を読んでいる。

My husband is lying on the living room couch reading a book.","いた。

In Japan, until 1994, the interest rate policy was based on a reduction of the official discount rate.","もの経済成長があったという。

During Japan’s postwar period of rapid economic growth, the economy grew by as much as 10% per year."
177,本棚,ほんだな,hondana,Noun,bookshelf; bookcase,jlpt_n5,"といった家具に使われることが多い。

Trees such as oaks and beeches produce hardwood, which is commonly used for furniture such as desks and bookshelves.","に並べられている。

Just as in the bookstores, my older brother’s bookshelves are organized according to publishers or authors.","しまった。

All the books I had arranged on the bookshelf by the sunny window had faded spines."
178,本当,ほんとう,hontou,"Noun, Adjective, な-adjective",truth; reality; actuality; fact,jlpt_n5,"は最近元気がない。「勉強が忙しいんだ」と言っているが、

My friend, who belongs to the same laboratory as I, has been in low spirits lately. He says, “I’m busy with my studies,” but I suspect that the real reason is different, as he has stopped talking about his girlfriend.","に本当に愛する人と結ばれて幸せになってほしいと願った。

The father wished his daughter to be united with the one she truly loved and to be happy.","を救うことができなくなるかもしれない。

If an ambulance is unnecessarily called when there is no need, it may delay the arrival of the ambulance to a genuine emergency where it is really needed. This could result in death, when otherwise lives could have been saved."
179,欲しい,ほしい,hoshii,"Adjective, い-adjective",want,jlpt_n5,"の同級生とよく連絡を取っている。

Even now, thirty years after I graduated from high school, I am still often in touch with my classmates.","のに商品が送られてこないなどのトラブルもあるので注意したい。

Online auctions are a convenient and easy way to find what you want. Still, caution must be exercised since problems, such as items not being shipped after payment, do occur.","ビタミンカラーのワンピースが欲しい。

I want a summery, brightly colored dress for a summer vacation trip."
180,細い,ほそい,hosoi,"Adjective, い-adjective",thin; slender,jlpt_n5,"が細くなり、施設の食事も満足にとれているのか心配だ。

My elderly mother eats less than she used to, and I am concerned about whether she is getting enough food at the home for the elderly. Her cheeks appear to be somewhat more hollow than when I last saw her.","をうかがった。

Hearing our parents arguing from downstairs, my younger brother slightly opened the children’s room door and quietly peeked out.","料理のことだ。

My father has been eating less and less since he got sick and I am worried about him."
181,ホテル,,hoteru,"Noun, Katakana",hotel,jlpt_n5,"ことになった。

I was on a business trip and suddenly had to stay overnight. I looked for an available room at a business hotel near the station, but unfortunately there were no vacancies.","いた。

During my business trip, I had my meals inside the restaurant at the hotel where I was staying.","の準備を進めている。

The hotel is preparing the wedding reception according to the bride and groom’s wishes."
182,百,ひゃく,hyaku,"Noun, Numeric",100; hundred,jlpt_n5,"の買い物客でにぎわった。

The department store was selling 100 or more kinds of ekiben (packed lunch typically sold at train stations and on long-distance trains) from all over Japan, and was crowded with shoppers.","に利用されることも多い。

Although items sold in a department store are generally higher in price, they are perceived to be of higher quality and as a result are often selected for gifts.","いる。

Strollers and wheelchairs are lent to shoppers at the information counter of a department store."
183,一,いち,ichi,"Noun, Prefix, Suffix, Numeric",one; best; first; foremost; start,jlpt_n5,"になっている。

Rice is ripening and all the rice fields are turning golden.","落とし、その蒸気を吸入する方法がある。

One way to enjoy aromatherapy is to place a few drops of essential oil into hot water and inhale the vapor that rises from the water.","の会社の給料が安かったことがある。

One of the reasons why I considered changing jobs was because of the low salary at the company I was working for at the time."
184,一番,いちばん,ichiban,"Noun, Adverb","number one; first; 1st, first place​; best; most​",jlpt_n5,"を落とすこともある。

The most common symptom of food allergy is itchy skin; however, in worst case scenarios, shock symptoms called anaphylaxis can occur and be fatal.","親友中一番良い

My best friend receives the highest grades in her class.","中指5本指手話兄表す

The middle finger is the longest of the five fingers and represents the older brother in sign language."
185,一日,いちにち,ichinichi,"Noun, Adverbial Noun","one day, all day",jlpt_n5,"今日は雪が降っている。天気予報では

It is snowing today. According to the weather forecast it will continue to snow throughout the day.","の天気で残念だった。

I was so looking forward to the school trip, but the weather was not so good, it was cloudy all day, so it was disappointing.","最近忙し過ぎて会社と自宅の往復しかしていない。

I have been so busy lately that I have only been commuting between work and home.  Even on my days off, I am so tired that I just spend the entire day at home sleeping. My range of activities has become quite limited."
186,家,いえ,ie,Noun,"house, residence, family",jlpt_n5,"は困っている。

This summer has been troubled by record low rainfall, which has resulted in extremely poor rice growth.  This situation aggrieves farmers.","いた。

In the days when rice was harvested by hand, farmers worked in the fields with all of their family members.","である。

A fair trial is a prerequisite for a nation governed by the rule of law."
187,いかが,,ikaga,Adverb,how; in what way; how about​,jlpt_n5,"ないかがちょっと心配だ。

When you apply to take part in a trial for a popular dietary supplement, participants are offered a free 30-day supply of the dietary supplement just by answering a simple questionnaire. However, I am a little worried that I will be forced to purchase the product through a persistent sales pitch.","先生中東情勢についていかがお考えですか

Professor, what do you think of the situation in the Middle East?","新しい職場はいかがですか

How's your new job?"
188,池,いけ,ike,Noun,pond,jlpt_n5,"目隙10か月型電池口入れよう肝冷やした

A chill ran to my core when I looked away for a moment, then saw my 10-month-old child trying to put a button battery, that has fallen on the floor, into his mouth.","いた。

The temperature dropped below zero degrees Celsius during the night, and when I woke up in the morning, the pond in my garden was frozen.","も多い。

Cherry trees are planted around the pond in the park, and many people row boats while enjoying viewing the cherry blossoms in spring."
189,行く,いく,iku,"Verb, Godan verb, Intransitive verb",to go; to move,jlpt_n5,"、行く。」と返事が返ってきた。

When I called out to my daughter to tell her that the meal was ready, she replied, “I am coming.”","だ。

We have a dog, so it is part of my routine to take him for a walk every morning.","を持って行くことにした。

The weather forecast reported an 80% chance of precipitation today, so I decided to bring an umbrella."
190,いくら,,ikura,"Noun, Adverb",how much?; how many?​,jlpt_n5,"に直すといくらになるのだろうか。

How much would $50 be if you convert it into Japanese yen?","をネットで調べてみた。

I was invited to a colleague’s wedding. As I did not know how much money I was expected to give in celebration of their wedding, I checked online.","がある。

One of the reasons commonly cited by children and students who are absent from school for a long time is their dislike of school."
